"date","sampling","lab_report","deaths","patients_no_meth","new_meth","petients_meth"
2020-03-02,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0
2020-03-07,1,0,0,0,0,0
2020-03-08,0,0,0,0,0,0
2020-03-09,1,2,0,0,0,0
2020-03-10,4,0,0,1,0,0
2020-03-11,2,0,0,4,0,0
2020-03-12,6,0,0,6,0,0
2020-03-13,13,16,0,7,0,0
2020-03-14,8,5,0,9,0,0
2020-03-15,12,8,0,9,0,0
2020-03-16,5,13,0,9,1,1
2020-03-17,8,4,0,8,1,2
2020-03-18,17,15,0,10,0,2
2020-03-19,13,9,0,15,0,2
2020-03-20,15,11,0,18,1,3
2020-03-21,10,0,1,16,1,4
2020-03-22,6,16,0,16,1,5
2020-03-23,13,19,0,20,1,6
2020-03-24,18,8,2,25,3,9
2020-03-25,13,10,0,27,3,10
2020-03-26,34,20,0,32,1,10
2020-03-27,31,24,3,37,2,11
2020-03-28,26,21,1,37,3,12
2020-03-29,33,27,1,43,1,12
2020-03-30,37,33,0,45,0,11
2020-03-31,39,45,2,49,0,12
2020-04-01,29,56,2,47,1,13
2020-04-02,47,29,0,56,0,12
2020-04-03,21,32,1,58,2,13
2020-04-04,25,38,1,57,0,12
2020-04-05,9,18,0,53,0,11
2020-04-06,37,23,0,48,1,13
2020-04-07,39,23,0,45,1,13
2020-04-08,23,32,0,47,1,14
2020-04-09,17,31,1,42,1,14
2020-04-10,18,20,0,43,1,14
2020-04-11,37,20,1,38,0,14
2020-04-12,22,16,1,35,1,15
2020-04-13,26,41,0,30,0,15
2020-04-14,25,25,0,32,0,14
2020-04-15,15,16,0,32,0,13
2020-04-16,9,19,0,31,2,15
2020-04-17,4,15,0,28,0,15
2020-04-18,5,6,0,28,0,14
2020-04-19,0,1,0,24,0,14
2020-04-20,11,6,0,23,1,15
2020-04-21,6,13,0,23,0,15
2020-04-22,7,5,1,23,0,14
2020-04-23,13,7,1,21,0,13
2020-04-24,2,12,0,23,0,10
2020-04-25,9,3,0,22,0,10
2020-04-26,4,2,1,18,1,11
2020-04-27,16,11,0,22,0,8
2020-04-28,5,16,0,25,0,7
2020-04-29,9,4,0,24,0,7
2020-04-30,7,6,0,22,0,6
2020-05-01,7,8,0,21,0,6
2020-05-02,3,7,0,20,0,6
2020-05-03,2,4,0,21,0,6
2020-05-04,4,6,0,20,0,6
2020-05-05,5,4,1,23,0,6
2020-05-06,6,4,0,22,0,5
2020-05-07,2,3,0,21,0,5
2020-05-08,3,3,0,17,0,5
2020-05-09,8,3,1,17,0,5
2020-05-10,1,4,0,18,0,4
2020-05-11,0,3,0,18,0,4
2020-05-12,3,4,1,16,0,4
2020-05-13,2,0,1,10,0,4
2020-05-14,3,3,0,9,0,3
2020-05-15,2,4,0,9,0,3
